Job_Loc,industry_compsize,usetime,score,review_title,review_body,review_pro,review_con
Founder in US,"Marketing & Advertising, 2–10 Employees",Used the Software for: 2+ years,5.0,Shopify is easy to launch and manage,"My overall experience has been positive using Shopify as my shopping cart for my store. I felt the transition from Magento was pretty simple - although I did not do the migration that is an option, I ended up starting a brand new site.","I currently use Shopify for my “side hustle” business - selling retro and vintage style dresses online - www.retrovintagedresses.com I previously used Magento for my shopping cart before switching over to Shopify. I like that it’s an easy platform to get set up on and deploy. Also, I love that you can easily create a catalog on business manager to sell products on Facebook and Instagram. Definitely easy to use.",I don’t have any cons that I can think of with Shopify. I’ve been using it for over 2 years and have not had any major issues or set backs.
Housekeeping in US,"Hospitality, 2–10 Employees",Used the Software for: 1-5 months,4.0,To Shopify or Not to Shopify,"Inventory management, marketing, invoicing, and placing orders have all become more manageable for me and my employees/coworkers.","At first, it was super exciting. I was relieved that there is a website/app that helps me to promote my small businesses. I can easily manage my inventory and add to it. I am a beginner, a newbie if you would. Shopify has made meeting my businesses' needs a whole lot easier.",The only issue I have with Shopify would be that adding products to the inventory list is a long drawn-out process. If only there were easier means of uploading product information.
Owner in US,"Retail, 2–10 Employees",Used the Software for: 1+ year,1.0,Shopify is a total scam don't deal with them.,"We selected Shopify to sell our pet products from @frenchiesglobe our troubles started with the name they couldn't fix it it kept going back to my personal name I filed bbb complaints no response I tried their technical support no help they fixed it once some how a few days later it went back they kept charging both us and the customers the info kept getting lost so orders kept getting delayed their platform kept having bugs or crashing they allow any vendor to connect to your store and bill you so be careful and when some extra third party charge doesn't get paid they close your site even if it's an error on their part Therefore I strongly suggest you never deal with them if you have issues please inbox me [sensitive content hidden] I have started working with FTC, FCC, BBB and all Attorney Generals across all USA to bring about the biggest class action lawsuit ever filed. #boycottshopify",Not a single thing they are the worse platform ever.,Nothing good came about from this platform only nightmares
System Administrator in US,"Information Technology & Services, 10,000+ Employees",Used the Software for: 2+ years,4.0,Shopify makes selling products simple,"One of our offerings is sold through the Shopify platform. Instead of having customers go via their CSM to place an order, we required a platform where they could do it independently. By signing up for Shopify, we were able to shave off a significant amount of time and dedicate it to other strategic endeavors for the company.","If you're a small or large business owner looking to sell your products internationally with minimal hassle, Shopify is the perfect platform for you. You may create an online store using Shopify for free or with a premium plan. I've used the Shopify platform over a hundred times already, and not a single customer has been let down.","Not user-friendly in terms of shipping, though; we have to pay an extra $40-$60 per month for ShipStation in order to print FedEx labels. Reports can be exported, and so can. There is room for improvement when working with CSV files; the process is not always straightforward."
Head of Digital Marketing in India,"Information Technology & Services, 201–500 Employees",Used the Software for: 1+ year,5.0,Accelerating Digital Growth with Shopify Website Development and Marketing,"I have had a great experience with Shopify website development and marketing. It has been easy to use and very helpful in creating an effective online presence for my business. The platform is intuitive, allowing me to quickly create pages, customize designs, add products, manage payments and shipping options, as well as track analytics. I was also able to integrate various third-party apps that allowed me to extend the functionality of my store. Additionally, I found their customer service team extremely helpful when I needed advice or help troubleshooting any issues with my site. Overall, Shopify has proven itself a great resource for building an attractive ecommerce website that gets results!","Easy to Use: Shopify provides an intuitive, user-friendly platform that makes it easy for website owners to quickly and easily create a professional online store. The drag-and-drop feature makes customizing your site simple and effortless, without needing any technical knowledge or coding experience. Affordable: Shopify is one of the most affordable ecommerce solutions on the market today, making it ideal for those with tight budgets who are looking to launch their own online business. Pricing plans start from small investment, so you can get started almost instantly without breaking the bank. Mobile Friendly: With more people using their smartphones and tablets than ever before to shop online, having a mobile compatible website is essential in order to connect with potential customers and stay competitive in today’s digital landscape. Shopify comes ready equipped with an integrated mobile commerce shopping cart solution so you don’t have to worry about creating separate versions of your site for different device sizes or platforms – everything works seamlessly together out of the box! Powerful Marketing Tools: From built-in SEO features such as customizable page titles & meta descriptions; product reviews; customer segmentation & targeted campaigns; coupon codes & discounts; Live Chat tools plus much more – there are plenty of powerful marketing options available within Shopify which can help take your business from local success story all the way up through internati","User Interface Issues: With the exception of the newest version, Shopify’s user interface is often clunky and difficult to navigate at times, making it more difficult than necessary for users to make changes or updates on their websites."
Marketing Manager in India,"Information Technology & Services, 51–200 Employees",Used the Software for: 2+ years,5.0,Best e-commerce platform that incredibly easy to use and highly effective.,"My experience with Shopify has been excellent. The process of setting up my ecommerce website was seamless and quick, thanks to their user-friendly templates that made it incredibly easy.","As a Shopify user, I can attest to its ease of use. It offers an intuitive, drag-and-drop platform for creating a professional online store without requiring any technical or coding skills. It's also affordable, with plans starting from a small investment, making it ideal for budget-conscious entrepreneurs. Shopify is mobile-friendly and comes equipped with an integrated mobile commerce shopping cart solution to ensure seamless access across all devices. Additionally, it offers a range of powerful marketing tools, including SEO features, product reviews, customer segmentation, targeted campaigns, and Live Chat, among others, to help take your business to new heights of success.",It's crucial to consider the ROI and determine if Shopify aligns with your business needs since some plugins can be costly in terms of pricing.
"Computer Software, 2–10 Employees",Used the Software for: 2+ years,Reviewer Source,5.0,Great platform to start your ecommerce adventure,"Overall, Shopify is a top-tier platform to host an ecommerce website for any small business. It is super easy to use, and you have access to a plethora of tools to help you grow your business.","The ""orders"" table is very easy to navigate. Extracting orders to CSV is a crucial part of our fulfillment and wholesale purchasing processes.","Though it has been improved over the years, filtering orders is a little messy. I would love to have more advanced options to filter orders into specific sections."
Media Buyer in Bangladesh,"Information Technology & Services, 2–10 Employees",Used the Software for: 2+ years,5.0,Best for Ecommerce store business,"Overall, I am happy with my current subscription. I just wish that if they could lower the prices for their subscription. Apart of that, everything I love about them.","Simple to just use, excellent recommendations, and knowledgeable support personnel. Shopify is one of the greatest online business hosting options in my opinion.",Their prices should be lower compare to their competitors.
Software Developer in Mexico,"Computer Software, Self Employed",Used the Software for: 6-12 months,5.0,One of the best ecommerce platforms,"Overall, I think Shopify is great in one word, because it's easy to use, the pricing is not that high, well depending on the plan, and has a lot of apps, the only downside is the transaction fees, but if you're making good profit you won't even notice.","One of the things I like about Shopify is that you're able to sell across multiple platforms, like Facebook, Amazon and Instagram to mention some. The customer support is also great, since it's 24/7, another great thing is the variety of payment options they p[rovide including their own.","One of the things I dislike about Shopify is the transaction fees you have to pay, I believe in my opinion that's the most annoying one."
Software Engineer in India,"E-Learning, 501–1,000 Employees",Used the Software for: 2+ years,4.0,New way to grab Best Deals On Products - Shopify,,,
